,real_chord,predicted_chord,inp_len
40351,C,C,105
40352,C,C,35
40353,Bmin,Bmin7,13
40354,A,A,25
40355,Amin,G,19
40356,Fno3d,Emin,55
40357,Amin,Amin,50
40358,C,C,62
40359,C,C,63
40360,Emin,Emin,33
40361,Dsus2,E,4
40362,D,D/C,6
40363,Eb,Eb,43
40364,G,Bmin,38
40365,A,C,22
40366,A,A,36
40367,Fs,Fs,21
40368,Amin,Amin,5
40369,Amin,F/A,58
40370,Cs,Csmin,49
40371,C,C,24
40372,C/E,C,121
40373,F,F,47
40374,Amin,F,28
40375,Amin,Amin,11
40376,A,A,27
40377,A,Dmin,15
40378,D,D,85
40379,C,G,10
40380,G,G,52
40381,G,G,55
40382,Emin7,Emin7,57
40383,Cno3d,Fno3d,73
40384,F,F,7
40385,As,Gs,12
40386,G,G,30
40387,G,D,61
40388,Csmin7,Csmin,13
40389,E,E,85
40390,Bb,Gmin,58
40391,G,G,45
40392,D,D,14
40393,C,C,30
40394,Emin,Cadd9,103
40395,G,D,18
40396,C,C,89
40397,Csmin,E/Ds,80
40398,G,G,31
40399,G,G,56
40400,Dmin,Dmin,72
40401,G,G7,45
40402,D,D,91
40403,F,G,7
40404,B,Csmin,13
40405,C,C,17
40406,C,C,49
40407,D/Fs,D/Fs,58
40408,Gmin,As,11
40409,E,Fsmin/Cs,63
40410,Bmin,Bmin,56
40411,Bmin7,E9,36
40412,Bmin/A,A7,27
40413,B,Bno3d,27
40414,G,G,42
40415,A,G,86
40416,G,G,53
40417,E,E,30
40418,C,C,51
40419,F7,C,35
40420,Csmin,Csmin,53
40421,Fmin,Fmin,11
40422,Emin7,A,30
40423,Abmin,Gsmin7,77
40424,Gmin,Fmaj7,7
40425,E,E,23
40426,Amin,Amin,56
40427,Gmin,Gmin,70
40428,Amin7,G,34
40429,A,A,100
40430,Dmin,Dmin,37
40431,Gs,Eb,26
40432,Bb,C,13
40433,D,D,29
40434,Gmin,Gmin,6
40435,C,C,28
40436,Amin7,F9,68
40437,C,C,116
40438,A,G,81
40439,G,A,11
40440,Bb,Bb,8
40441,G,Emin,108
40442,G,A,5
40443,G,G,22
40444,Amaj7,Dmaj7,22
40445,Bmin,Bmin,32
40446,D,D,97
40447,Ab,Cmin,39
40448,F,F,72
40449,Dno3d,Gno3d,62
40450,Amin,Amin,28
40451,As,As,7
40452,D,D,67
40453,B7,C,42
40454,A,D,23
40455,As,As,86
40456,G,G,20
40457,G,G,80
40458,A,A,45
40459,C,C,5
40460,E,E,15
40461,C,C,41
40462,B,A,22
40463,Bmin,C9,6
40464,Amin7,Amin7,34
40465,C,D,65
40466,Gs,A,73
40467,Amin7,Amin7,10
40468,F,F,7
40469,B,B/Fs,75
40470,A,A,23
40471,F,C7,41
40472,G,C,17
40473,E,Amin,10
40474,C,C,40
40475,C,Amin,6
40476,D,D,25
40477,A7,A7,4
40478,C,C,44
40479,D,Bmin,6
40480,F,F,9
40481,Csmin,Gsmin7,55
40482,C,C,49
40483,Fmin,Fmin,52
40484,Gsmin,E,21
40485,Emin,G,31
40486,Amin,C,22
40487,Fsmin,B,20
40488,C,C,73
40489,Eb,Eb,64
40490,A,A,12
40491,D,D,22
40492,Amin,Amin,11
40493,Fsmin,A,67
40494,B7,Amin,18
40495,D/Fs,D/Fs,17
40496,Dmin,Dmin,104
40497,G,G,5
40498,D,Dsus2,27
40499,F,F,54
40500,C,C,58
40501,C,C,4
40502,C,C,7
40503,A,D,11
40504,D,D,14
40505,A7,Cadd9,20
40506,D,G,46
40507,D,G,41
40508,G,A,18
40509,A,A,53
40510,C,Amin,32
40511,E,A,39
40512,D,D,55
40513,G,G,19
40514,D,C,18
40515,Gmin,Gmin,13
40516,Dmin,Dmin,74
40517,Ds,Ds,12
40518,Fs,Fs,59
40519,Eb,Eb,9
40520,G,D,9
40521,G,G,13
40522,F,Eb,90
40523,G,G,26
40524,Gmin,Gmin,50
40525,B,B,12
40526,Cmin,Cmin,35
40527,A,A,18
40528,Dmin7,F,29
40529,Amin,Amin,7
40530,Ab,Cmin,52
40531,Amin,Amin,40
40532,E7,E7,44
40533,D,D,8
40534,G,G/Fs,30
40535,E,E,25
40536,D,D,7
40537,G,D/,47
40538,A,A,78
40539,A7,D,10
40540,A,A,6
40541,Dmin,Dmin,78
40542,Amin,Amin,53
40543,G,G,5
40544,Fsno3d,E,37
40545,A,D,4
40546,G,G,71
40547,B7,A,69
40548,Amin,Amin,18
40549,C,C,7
40550,Bmin,Bmin,9
40551,Dmin,Dmin,18
40552,Ab,Eb,37
40553,Dadd11,Bmin,74
40554,B7,C,42
40555,Emin,Emin,8
40556,F,Emin,102
40557,Emin,Emin,15
40558,Amin,Dmin,6
40559,Cs,Cs,10
40560,D/Fs,D/Fs,7
40561,G,E,90
40562,Dmin,Dmin,16
40563,Emin,Emin,16
40564,G,G,4
40565,F,F,50
40566,E,E,56
40567,G,G,35
40568,D/Fs,D,15
40569,C,Dmin,12
40570,Amin,Amin,23
40571,Gsmin,A,12
40572,E,E,73
40573,Emin,Emin,26
40574,Bmaj9,Emaj9,93
40575,D7,D7,33
40576,C,C,7
40577,C,C,18
40578,G,G,26
40579,D,D,66
40580,D,D,23
40581,Db,Db,58
40582,Bmin7,Bmin,60
40583,F,F,56
40584,G,G,4
40585,Gmin,Gmin,40
40586,D,C,27
40587,Fsmin,Fsmin,34
40588,G,G,38
40589,Amin,Emin,35
40590,F,F,42
40591,E,E,31
40592,Csmin,Csmin,17
40593,C,C,17
40594,D,B,35
40595,Fsmin,Fsmin,38
40596,Emin,Emin,43
40597,Amin,Amin,4
40598,Dadd9,Cadd9,38
40599,D,D,61
40600,Dmin,Dmin,41
40601,Fs,Fs,68
40602,C,C,91
40603,C/E,D/,100
40604,Fmin,C,23
40605,Amin/Fs,Amin/F,60
40606,E7,E7,17
40607,Fs,Fs,30
40608,G,G,9
40609,F,F,17
40610,Bmin,Amin7,20
40611,G,G,48
40612,G,Emin,52
40613,G,B,20
40614,A/E,A,49
40615,D,D,36
40616,Cmaj7,Cmaj7,30
40617,Amin,Amin,4
40618,B,E,8
40619,A,A,27
40620,Amin7,Amin7,30
40621,Amin,F,17
40622,Fsmaj7,Gsmin7,16
40623,Csmin7,Csmin7,57
40624,G,G,50
40625,Amin,F,55
40626,Fs,Fs,47
40627,Bmin7,Bmin7/Fs,55
40628,C,C,24
40629,D,D,93
40630,B,B,5
40631,G,C,4
40632,A,A,32
40633,C,Dmin9,27
40634,F,F,48
40635,Ds,Ds,30
40636,Amin,Dmaj7,33
40637,G,G/B,29
40638,C,G,33
40639,Cssus2,Bsus2,27
40640,Amin,Amin,25
40641,Amin,C,18
40642,D,D,46
40643,F,F,26
40644,Ebmaj7,Dmin9,25
40645,A,A,14
40646,G,G,6
40647,Dmin,Dmin,19
40648,Dmin,Dmin,36
40649,Fs,Fs,9
40650,Gmin7,Cmin7,90
40651,G,G,93
40652,F,F,9
40653,Emin7,G,77
40654,G,C9,26
40655,F,F,24
40656,G,G,20
40657,E,E,26
40658,Bb,Bb,59
40659,D,D,34
40660,E,F,52
40661,F,F,43
40662,A,C,24
40663,E,E,17
40664,D/Fs,D/Fs,17
40665,F,F,25
40666,Emin,Emin,34
40667,D,Fsmin,54
40668,G,G7,53
40669,G,G,15
40670,G,G,6
40671,Amin,Amin,6
40672,Gmin,Gmin,49
40673,B,Gsmin,4
40674,F,Dmin,70
40675,A,A,19
40676,B,Fs,28
40677,As,Gmin,5
40678,Bsus4,Bmin,40
40679,D,D,35
40680,G,C,36
40681,E,E,22
40682,A,D,28
40683,Emin,D,30
40684,D,D,6
40685,D,G,69
40686,Bmin,D,65
40687,D,G,51
40688,Eadd9,Eadd9,6
40689,D,D,42
40690,D,D,46
40691,D,D,56
40692,Csmin,Csmin,34
40693,E7,Dmin,24
40694,C,C,27
40695,E,E,54
40696,Bmin,Bmin,80
40697,G,G7,20
40698,Fmaj7,Fmaj7,56
40699,G,G,102
40700,C,Bmin,13
40701,A7,A7,14
40702,C,G,60
40703,G,G,13
40704,Dmin,G,104
40705,G,Bb,54
40706,Amin,Amin,6
40707,Cmin7,Cmin7,62
40708,Amin,Amin,34
40709,A,A,67
40710,Bmin7,Dmaj7,37
40711,Emin,C,22
40712,Amin,Amin,11
40713,A,A,35
40714,Dmin,Dmin,8
40715,C,C,100
40716,A,D,55
40717,F,F,10
40718,C,C,50
40719,D,C,26
40720,E,E,31
40721,G,G,6
40722,F,F,17
40723,E,E,59
40724,D,D,37
40725,Amin,Amin,33
40726,Emin,D,25
40727,Csmin,Csmin,24
40728,G/B,G/B,19
40729,Dmin,G,53
40730,A,A,12
40731,E,E,67
40732,Dmin,Dmin,53
40733,Bmin11,Bmin11,38
40734,Fmin,C7,7
40735,F,F,16
40736,D,C,5
40737,G,G,21
40738,G,G,20
40739,Bmin,G,79
40740,D,D,53
40741,C,C,35
40742,Dmin/F,Dmin/F,56
40743,As,As,16
40744,Dmin,Dmin,50
40745,Bmaj7,B,6
40746,D,D,27
40747,Emin,Emin,62
40748,Emin,C,25
40749,Bbno3d,Gno3d,118
40750,C,G,4
40751,Amin,D,72
40752,A,A,32
40753,C,C,6
40754,D,A,16
40755,D,D,46
40756,G,G,28
40757,C,C,89
40758,Emin,Emin,72
40759,A,A,12
40760,E,E,39
40761,G,G,69
40762,A,A,6
40763,G,G,8
40764,Dmin,Dmin,4
40765,D,D,91
40766,Fsmin,Fsmin,7
40767,A7,Bmin,9
40768,Fsmin,Fsmin,5
40769,Emin,Emin,7
40770,G,G,91
40771,Fs,E,63
40772,Emin,Emin,40
40773,Dmin,C,45
40774,G,G,20
40775,G,G,20
40776,Abmin,Abmin,123
40777,G,G,45
40778,D,D,20
40779,G,G,7
40780,Cs,B,32
40781,C,C,9
40782,D,C,9
40783,C,C,116
40784,G,G,9
40785,Db,Eb,28
40786,C,B,10
40787,Csmin,E,16
40788,G,G,58
40789,Amin,B,112
40790,D,G,11
40791,F,F,67
40792,Cmin,Cmin,10
40793,Fmin,Fs,85
40794,Bb,Bb,77
40795,Cs,Gs,30
40796,G,F,40
40797,F,Dmin,17
40798,Fs,Fs,22
40799,A,A,64
40800,A,A,10
40801,Fs,Fs,54
40802,Fs,Fs,82
40803,A,A,34
40804,D,B,76
40805,G,Bb,96
40806,Cmin,G,52
40807,D,D,16
40808,Dmin,Dmin,44
40809,D,D,41
40810,E,E,110
40811,G,D,71
40812,F,F,50
40813,F,F,52
40814,G7/D,C/D,13
40815,F,Amin,25
40816,Amin,Amin,33
40817,Csmin,Csmin,8
40818,Cadd9,G/B,90
40819,B,E,54
40820,A,A,24
40821,G,G,27
40822,Csmin,Csmin,13
40823,G,G,21
40824,Emin,Emin,36
40825,C,C,24
40826,Eb,Gmin7,13
40827,G,Emin,17
40828,C,C,13
40829,C,C,8
40830,Ds,Ds,109
40831,Emin,Emin,6
40832,G,G,4
40833,G,G,38
40834,B,C7,26
40835,Gsmin,Gsmin,7
40836,Amin,F,18
40837,Asmin,Asmin,38
40838,Fsmin,Fsmin,93
40839,F,F,5
40840,G,Amin,39
40841,F,Gmin,103
40842,D,D,25
40843,Bmin,Fsmin,27
40844,A,Fsmin,65
40845,Gs,Gs,27
40846,Cmin,Eb,6
40847,B,B,63
40848,D,D,70
40849,A,D,44
40850,Dmin,G,69
40851,Fadd9,G,122
40852,Dmin,C,37
40853,Bmin,D,64
40854,E,A,46
40855,D,D,10
40856,B7,C,7
40857,C,C,55
40858,C,Gs,14
40859,F,F,39
40860,Bmin,Bmin,12
40861,Fs,Fs,60
40862,F,Eb,73
40863,D/A,D,19
40864,G,G,95
40865,F,F,25
40866,Amin,F,5
40867,A,A,31
40868,B,A,4
40869,E7,Csmin7,15
40870,Cadd9,Amin,34
40871,G7,G7,16
40872,E,E,34
40873,D,D,64
40874,F,F,46
40875,Emin,D,97
40876,Amin,Dmin,43
40877,G,G/B,94
40878,Eb,Eb,40
40879,Asus4,Asus4,84
40880,C,C,6
40881,E,E,14
40882,Amin,Emin,23
40883,Bmin,Csmin/Fs,67
40884,C,C,92
40885,Cs,Cs,6
40886,G,G,15
40887,G,G,5
40888,F,F,13
40889,Bmin,D,4
40890,E7,G,16
40891,E,E,29
40892,G,G,29
40893,D,D,43
40894,F,G,52
40895,G,F,68
40896,F,F,14
40897,Bb,Bb,14
40898,Amin,Amin,24
40899,E,E,98
40900,F,F,27
40901,D,G,27
40902,D,A7,7
40903,A,Csmin,93
40904,Bb,Bb,15
40905,Daug,Eb,68
40906,G,G,16
40907,Bb,Bb,50
40908,B7,E,7
40909,Amin,Dmin,61
40910,G,G,50
40911,A,A,25
40912,Fsmin,Fsmin,50
40913,Cmin,Cmin,38
40914,Cs,A,22
40915,A,A,30
40916,E,Fsmin,4
40917,Bb,Bb,89
40918,Fs,Fs,8
40919,Amin,Amin7,25
40920,A,A,43
40921,E,E,62
40922,C,G,45
40923,G,Dmin,5
40924,A,A,35
40925,A,E,8
40926,D,D,81
40927,Bb,Bb,59
40928,G,F,56
40929,G,G,34
40930,Amin,Amin,5
40931,Gmin/Eb,Gmin,40
40932,A,A,16
40933,Ds,Gs,12
40934,Fsmin,Fsmin,20
40935,Bb,Bb,21
40936,D,D,46
40937,E,E,18
40938,Gmin/Bb,Gmin/A,8
40939,G,G,57
40940,F,G,36
40941,Amin,Amin,24
40942,B,B,22
40943,G,G,30
40944,B,A,10
40945,F,F,10
40946,Gmin,G7,10
40947,F,F,19
40948,C,G,20
40949,Emin,D,18
40950,Dmin,Dmin7,20
40951,D,E,36
40952,A,D,25
40953,G,Amin,59
40954,Csmin,D,15
40955,D,D,38
40956,G,G,16
40957,G,G,8
40958,C,C,7
40959,G,G,46
40960,C,C,5
40961,A,F,20
40962,G,G,15
40963,D7,G,8
40964,G,E,60
40965,Bb,Ebmin,125
40966,G,D,9
40967,Eb,Eb,10
40968,C,F,13
40969,G,G,105
40970,B,B,25
40971,E,E,9
40972,C,C,10
40973,G,G,15
40974,Emin,Emin,38
40975,Csmin7,Csmin7,25
40976,Bmin,Gadd13,36
40977,Amin,Amin,14
40978,D7,C,20
40979,D,E,17
40980,F,Dmin,34
40981,Fsmin,E,50
40982,Ebno3d,Abmin,15
40983,Fmaj7,Amin,47
40984,C,C7,4
40985,G7,C,17
40986,Bmin,Bmin,10
40987,A,A,13
40988,Fadd13,As,46
40989,Cmin,G,38
40990,E,E,22
40991,E,E,9
40992,Dno3d,Dno3d,29
40993,A,A,5
40994,Csmin,Csmin,9
40995,Dmin,D,44
40996,E,E,27
40997,F,Amin,113
40998,Emin7,D,86
40999,G,G,27
41000,C,Amin,5
41001,D,D,19
41002,Gsmin,E,36
41003,Cmin,Bb,40
41004,Amin,Amin,10
41005,A,A,98
41006,C,Cs,89
41007,G,G,33
41008,Gs,Gs,10
41009,Cs,Eb,111
41010,Bb,A,36
41011,Bmin,A,30
41012,Bmin,G,4
41013,Emin,Emin,29
41014,A7,D,21
41015,Eb,Eb,55
41016,G,Amin,59
41017,Dbmaj7,Dbmaj7,10
41018,Dmin,F,35
41019,Fmin,Dsmin,10
41020,C,C,20
41021,Cadd9,Cadd9,20
41022,D,D,15
41023,Emin7,E,31
41024,Cs,Cs,67
41025,Cadd9,Cadd9,8
41026,F,F,46
41027,D,D,12
41028,Fsmin,Gs,51
41029,Eno3d,Ano3d,21
41030,C7,F,41
41031,C7,D,47
41032,D7,G,14
41033,F,Amin,33
41034,B,B,33
41035,F,F,53
41036,C7,G7,26
41037,Emin,Emin,38
41038,A,A/G,32
41039,B,E,12
41040,Bmin,Bmin,76
41041,G,D,38
41042,Amin,Amin,90
41043,A,Dmin,72
41044,Eno3d,Ano3d,10
41045,G,G,42
41046,E,E,18
41047,F,F,6
41048,Gsus2,Dadd9,117
41049,G,G,5
41050,G,G,60
41051,A,A,18
41052,F,F,63
41053,Amin,Amin,5
41054,Fmaj7,Fmaj7,43
41055,Db/Eb,Ab,84
41056,A,A,8
41057,C,C,6
41058,Dsus2,Asus2,7
41059,G,G,81
41060,C7,G,10
41061,C,C,95
41062,A,Fsmin,62
41063,E,Csmin,50
41064,Gmin,C,37
41065,Amin,Amin,14
41066,C,C,109
41067,G,D,15
41068,C,C,59
41069,G,G,4
41070,Cmin7,Gmin,10
41071,As,As,22
41072,Amin,Amin,61
41073,Fmin,Fmin,29
41074,Emin,Emin,58
41075,Emin,Emin,25
41076,B,Cs,17
41077,Cmin,Cmin,31
41078,A,D7,20
41079,E,E,52
41080,Emin,G,84
41081,F,F,106
41082,C7,G/A,39
41083,Amin,G,10
41084,D,D,35
41085,Emin,G,34
41086,Fsmin7,Csmin7,33
41087,C,C,6
41088,Amin,Amin,8
41089,F,F,62
41090,G,G,14
41091,G,G,7
41092,Eb,Eb,30
41093,F,F,67
41094,Cmin,Eb/D,4
41095,A,Bmin,24
41096,D,D,14
41097,D,E/Fs,94
41098,Esus4,C,33
41099,A,A,9
41100,B,A,30
41101,C,A,14
41102,Amin7,Amin,8
41103,D,D,22
41104,C,G,22
41105,Fmaj7,Dmin7,34
41106,A,Emin,17
41107,G,C,15
41108,Emin,G,59
41109,Cs,Cs,16
41110,D,Amin,46
41111,G,Emin,81
41112,Amin,Amin,12
41113,Fs,Fs,52
41114,Esus4,Esus4,24
41115,Asmin,Cs,55
41116,G,G,21
41117,Dsmin,Dsmin,94
41118,Emin,Emin,65
41119,Amin,Amin,64
41120,Cs,Ds7,25
41121,D,D,5
41122,Fs,D/Fs,41
41123,Emin,Emin,60
41124,Bmin,C,19
41125,G,D,37
41126,D,D,33
41127,Fs,Fs,8
41128,Fsmin,Fsmin,6
41129,F,C,19
41130,C,G/C,19
41131,Fsmin,Csmin,12
41132,Dbmin,Dbmin,24
41133,B,B,21
41134,Ds,Ds,37
41135,C,C,86
41136,Cs,Cs,14
41137,Amin,Amin,44
41138,C/Bb,F,29
41139,F,F,14
41140,G,G,49
41141,E,E,51
41142,Dmin,F,32
41143,G/B,Ebmaj7,12
41144,Emin,Emin,6
41145,Fsmin,Csmin,23
41146,A,G,50
41147,Bmin,Bmin,6
41148,F,G,17
41149,Dmin,Dmin,42
41150,E,E,8
41151,Bbmin,Fs,4
41152,A7,G/B,26
41153,Bmin,Bmin,88
41154,G7,G7,9
41155,G,F,6
41156,A,A,9
41157,Cadd9,Cadd9,58
41158,F,G,16
41159,B,B,103
41160,Emin,D/A,33
41161,G,Bmin,28
41162,Bb,G,61
41163,G,G,50
41164,D,D,16
41165,Bmin,G,4
41166,A,E,38
41167,A,A,59
41168,C,C,44
41169,E/B,G/D,22
41170,C,C,5
41171,Amin,C,5
41172,C,C,26
41173,B,B,57
41174,G,G,50
41175,E,E,17
41176,Dmin,F,14
41177,Cs/E,B/E,48
41178,E,E/Cs,33
41179,E,Amin,19
41180,G,Dsus2,35
41181,Amin,Fs7,36
41182,G,G,5
41183,Amin,Amin,24
41184,D,D,5
41185,Amin7,Bmin,71
41186,Emin,G,8
41187,Bb,Bb,59
41188,Asno3d,Gno3d,36
41189,Dsno3d,Gsno3d,8
41190,Gadd9,Gadd9,21
41191,Bbno3d,Gsno3d,37
41192,D,Fsmin,45
41193,Amin,Amin,27
41194,F,F,53
41195,Asmin,B,13
41196,C,C,11
41197,D,Emin,18
41198,G,G,59
41199,Csmin,Csmin,36
41200,C,C,76
41201,G,Ab,52
41202,A,A,23
41203,Amin,Amin,13
41204,Ab,Csmin,64
41205,B,B,37
41206,Amin7,C,47
41207,F,F,48
41208,Eb,Bb,26
41209,Amin,Amin,33
41210,B,B,21
41211,G,D,24
41212,C,C,47
41213,F,F,24
41214,Cno3d,Bno3d,79
41215,F,C,10
41216,D7,A,45
41217,G,Fsmin,4
41218,Amin7,F,40
41219,Emin,Emin,35
41220,Cs,Cs,7
41221,Eb,Cmin,25
41222,Bb,Bb,94
41223,D,D,18
41224,F,A,100
41225,E,E,44
41226,Fs,Fs,50
41227,Dmin7,Dmin7,35
41228,Csmin,Csmin,34
41229,G,G,9
41230,C,C,60
41231,Ab,Db,12
41232,B,B,58
41233,Amin,Amin,39
41234,A,Csmin,30
41235,Emin,Bmin,94
41236,C,C,92
41237,Amin,Amin,99
41238,C,C,34
41239,C,C,27
41240,Amin,Amin,16
41241,C,C,20
41242,C,G,32
41243,E7,E7,47
41244,Emin,Emin,27
41245,C,C,28
41246,G,F,38
41247,D,E,11
41248,G,G,5
41249,Csdim,D7,60
41250,A,A,65
41251,B,B,23
41252,B,B,62
41253,Dmin,Dmin,77
41254,B,D,25
41255,D,D,58
41256,G,G,5
41257,E,E,27
41258,E,E,92
41259,B,B,102
41260,G,F,32
41261,C,A,17
41262,G,F,66
41263,Dmin,G,62
41264,A,G,33
41265,Ab,Ab,37
41266,Amin,G,10
41267,Amin,G,39
41268,Bb,C,8
41269,Asmin,Asmin,19
41270,C,C,27
41271,Bmin,Bmin,88
41272,G,G,10
41273,E7,E7,9
41274,D,G,4
41275,Emin,Emin,97
41276,Asus2,Aadd9,63
41277,A,A,17
41278,Bmin,Bmin,55
41279,Fsmin,A,28
41280,C,C,102
41281,Fsmin,Fsmin,11
41282,Bmin,D,89
41283,C,G,48
41284,Bmin,G,16
41285,A,A,30
41286,G,G,62
41287,Dmin,Dmin,4
41288,Emin,Emin,32
41289,Cmaj7,Amin,10
41290,E,A/Fs,28
41291,Gs,Gmin,42
41292,G,G,84
41293,Bmin,D,54
41294,G,G,11
41295,A,A,40
41296,C,C,52
41297,D,D,57
41298,F,G,44
41299,F,G,102
41300,Cadd9,Cadd9,11
41301,B7,B7,65
41302,Csmin,Csmin,67
41303,A,A,13
41304,C,Amin,6
41305,Dsus2/A,Dsus2/A,29
41306,D,D,97
41307,Fs,Gsmin,26
41308,E,E,60
41309,A,E,68
41310,B,D,88
41311,A,A,42
41312,A,A,7
41313,G,D,54
41314,Fmin,G,70
41315,E,E,14
41316,Amin,Amin,80
41317,E,Csmin,59
41318,G,G,22
41319,Bmin,Bmin,80
41320,Gb,Cmin,4
41321,G,Emin,13
41322,G,G,54
41323,G,Eb,20
41324,D,D,53
41325,D,D,27
41326,Emin,Emin,11
41327,G,F,5
41328,Csmin,Csmin,35
41329,C,C,30
41330,D,D,38
41331,C,C,31
41332,B,B,21
41333,G,G,32
41334,F,F,80
41335,Emin,Amin,5
41336,C,C,77
41337,Bb,Bb,16
41338,A,A,24
41339,Amin,F,74
41340,Gadd13,Cmaj7,25
41341,E,E,65
41342,D,D,46
41343,D,E,61
41344,Amin,Amin,91
41345,Ds,Ds,37
41346,D7,D7,57
41347,G,Bmin,25
41348,C,C,46
41349,Gno3d,Asus4,67
41350,Cadd9,Cadd9,69
41351,Fs,Cs,22
41352,Emin,Emin,32
41353,Bmin,Bmin,6
41354,D,D,70
41355,C,D,44
41356,Fsmin,A,78
41357,Bmin,Bmin,67
41358,D,Bmin,41
41359,Gmaj7,Dmaj7,4
41360,Cs,Cs,7
41361,A,A,33
41362,Gmin,F,16
41363,E,A,72
41364,C/G,C/G,26
41365,D/Cs,D/,63
41366,C7,G7,16
41367,Dno3d,Gno3d,86
41368,Gmin,Gmin,68
41369,C,C,47
41370,Gmin,F,12
41371,Emin,Bmin9,72
41372,C,C,25
41373,G7,F,36
41374,E,E,14
41375,C9,Amin9,67
41376,Aadd13,Aadd13,77
41377,D,D,9
41378,D,A,24
41379,G,Bb,9
41380,F,C7,14
41381,D,Emin,10
41382,A,E,90
41383,Gmin,C,65
41384,Emin,F,44
41385,Csmin,Fs,9
41386,C,C,48
41387,Emin,D,17
41388,Fadd13,A,27
41389,Bb,C7,35
41390,Gsmaj7,Fssus4,107
41391,A,A,4
41392,B,B,39
41393,C,C,14
41394,Emin,Emin,97
41395,B,B,47
41396,Gsmin,Gsmin7,118
41397,G,G,73
41398,Fmin,Fmin,32
41399,Csmin,A,15
41400,G,G,40
41401,Cmin,Ab,33
41402,F,F,22
41403,D,D,19
41404,D7,D7,69
41405,G,G,13
41406,Fmaj7,F,52
41407,E,B,9
41408,D,D,58
41409,G,G,13
41410,Amin,Amin,30
41411,Emin,Emin,81
41412,C,C,42
41413,C,C,5
41414,Emin,Emin,24
41415,Emin,Emin,40
41416,F,Dmin,39
41417,D,D,7
41418,C,C,69
41419,B/Ds,B/Ds,87
41420,F,F,18
41421,G,Amin,29
41422,Amin7/G,C,5
41423,D,D,64
41424,Dmin,Dmin,11
41425,Emin,G,49
41426,D,D,41
41427,D,D,49
41428,Bmin,Fsmin,40
41429,G,G,7
41430,Amaj7,Bmin,19
41431,C,C,19
41432,Dmin,G,73
41433,Cadd9,G,19
41434,G,G,17
41435,F,F,21
41436,B,B,40
41437,Amin7,Gmaj7,16
41438,Amin7,Fmaj7,11
41439,Dmin,Dmin,47
41440,F,G,88
41441,D,E,36
41442,C,C,24
41443,D,A,20
41444,B,B,50
41445,C/E,C,29
41446,Amin,Amin,34
41447,Fmaj7,C/E,91
41448,A,A,28
41449,Amin,Amin,15
41450,B,E,33
41451,Eb,Cmin,60
41452,Amin7,Amin7,75
41453,Cmaj7,Cmaj7,4
41454,A,D,66
41455,Cs,Cs,19
41456,D,D,27
41457,Gsdim7,A7,35
41458,Fsmin,Fsmin,12
41459,Amin,Emin,46
41460,Dmin,Dmin,95
41461,C,C,11
41462,E,E,51
41463,C,Emin,24
41464,Bmin,A7,89
41465,G,G,63
41466,G,G,8
41467,E7,E7,34
41468,Bb,Bb,62
41469,E,Amin,17
41470,E7,E7,15
41471,D,G,64
41472,Eb,Bb,76
41473,Eb,Ab,98
41474,F,F,21
41475,E,Fsmin,59
41476,A,A,20
41477,C,Cs,48
41478,C,C,33
41479,Bmin,Bmin,12
41480,A,Emin,53
41481,Bmin,Bmin,7
41482,E,E,52
41483,F,D,40
41484,Cmin,Cmin,16
41485,Bmin,A,25
41486,G,G,19
41487,Dmin,Dmin,5
41488,Bmin,G,41
41489,Bb,Bb,28
41490,D,Emin7,6
41491,D,D7,22
41492,D,D,116
41493,F,F,10
41494,B,Gs,21
41495,G,G,103
41496,C,F,80
41497,G,G,29
41498,D,D,108
41499,G7,G7,54
41500,D,D,20
41501,E,E,12
41502,Fmin,Fmin,7
41503,A7/G,Fsmin,33
41504,A7,G,13
41505,Amin,G,20
41506,Amin,C,17
41507,G,G,44
41508,As,Gmin7,14
41509,G,G7,8
41510,D,D,6
41511,E,D,7
41512,F,F,16
41513,Amin7,Amin7,38
41514,D,D,17
41515,C,C,28
41516,Bmin,D,92
41517,Asmin,Ds,61
41518,C,C,43
41519,G,G,101
41520,F,A,26
41521,B,E,38
41522,Emin,Emin,52
41523,F,G,27
41524,Asus2,F,10
41525,Dmin,Gmin,40
41526,D,D,20
41527,Ab/Bb,Ab/Bb,28
41528,Bbmin,Bbmin,15
41529,A,A,8
41530,Cmaj7,Cmaj7,35
41531,Amin,Dmin,42
41532,Dmin,Dmin,91
41533,C,G,31
41534,G,G,24
41535,Fs,Fs,19
41536,C,G,4
41537,Cmin,Cmin,48
41538,A,A,13
41539,E,E,6
41540,C,C,24
41541,Amin,Emin,43
41542,G/D,G/D,39
41543,B,B,11
41544,C,D,25
41545,Emin7,Emin7,18
41546,D,D,37
41547,D,C,9
41548,C,C,41
41549,E,E,17
41550,Fsmin,A,19
41551,A,A,57
41552,Dsus2,G,7
41553,E,E,62
41554,D,D,15
41555,D,D,37
41556,C,C,11
41557,G,D,19
41558,C/G,C/Fs,59
41559,Emin,Emin,62
41560,E,E,38
41561,Emin7,Dmaj7,40
41562,D,F,83
41563,F,Fmaj7,39
41564,B,E,68
41565,G,Fsmin,26
41566,A,A,118
41567,Gmin,Gmin,45
41568,D,D,82
41569,Fmin,Cs,82
41570,A,G,64
41571,G7,F,71
41572,G,G,7
41573,Amin,F,17
41574,D,D,17
41575,A,A,57
41576,Amin,Amin,21
41577,F,F,68
41578,D,D,51
